Start time (sec),End time (sec),Travel time (sec),v_id
48544,48593,49,1
48538,48591,53,2
48534,48589,55,3
48530,48586,56,4
48526,48584,58,5
48522,48582,60,6
48462,48508,46,7
48460,48504,44,8
48456,48503,47,9
48436,48500,64,10
48434,48497,63,11
48432,48496,64,12
48430,48494,64,13
48417,48490,73,14
48389,48408,19,15
48385,48404,19,16
48369,48399,30,17
48361,48397,36,18
48359,48395,36,19
48357,48392,35,20
48327,48390,63,21
48308,48386,78,22
48304,48384,80,23
48290,48382,92,24
48257,48272,15,25
48252,48269,17,26
48245,48259,14,27
48241,48248,7,28
48206,48243,37,29
48191,48239,48,30
48158,48179,21,31
48139,48177,38,32
48105,48175,70,33
48094,48170,76,34
48085,48167,82,35
48077,48164,87,36
48076,48161,85,37
48069,48086,17,38
48041,48061,20,39
48035,48059,24,40
48028,48055,27,41
48027,48054,27,42
47979,48050,71,43
47942,47971,29,44
47930,47960,30,45
47924,47958,34,46
47921,47956,35,47
47898,47954,56,48
47895,47953,58,49
47890,47949,59,50
47878,47947,69,51
47876,47946,70,52
47858,47944,86,53
47857,47942,85,54
47838,47928,90,55
47791,47837,46,56
47787,47836,49,57
47770,47832,62,58
47759,47776,17,59
47754,47775,21,60
47748,47771,23,61
47739,47761,22,62
47706,47752,46,63
47679,47746,67,64
47672,47744,72,65
47666,47742,76,66
47664,47741,77,67
47657,47738,81,68
47650,47737,87,69
47641,47661,20,70
47636,47659,23,71
47604,47653,49,72
47600,47649,49,73
47596,47643,47,74
47570,47639,69,75
47564,47635,71,76
47561,47633,72,77
47560,47631,71,78
47541,47629,88,79
47529,47628,99,80
47508,47611,103,81
47505,47527,22,82
47501,47523,22,83
47461,47511,50,84
47456,47508,52,85
47453,47504,51,86
47452,47503,51,87
47443,47500,57,88
47396,47497,101,89
47392,47428,36,90
47390,47424,34,91
47357,47421,64,92
47352,47418,66,93
47348,47417,69,94
47343,47414,71,95
47336,47412,76,96
47331,47410,79,97
47293,47384,91,98
47287,47314,27,99
47284,47311,27,100
47244,47306,62,101
47242,47304,62,102
47239,47302,63,103
47235,47278,43,104
47216,47234,18,105
47206,47224,18,106
47170,47214,44,107
47137,47210,73,108
47117,47208,91,109
47100,47206,106,110
47093,47204,111,111
47074,47202,128,112
47071,47199,128,113
47070,47198,128,114
47068,47196,128,115
47036,47194,158,116
47033,47111,78,117
47031,47109,78,118
47029,47107,78,119
47026,47105,79,120
47023,47101,78,121
47021,47099,78,122
47017,47097,80,123
47015,47095,80,124
46955,47000,45,125
46952,46998,46,126
46945,46995,50,127
46925,46992,67,128
46920,46989,69,129
46910,46984,74,130
46908,46983,75,131
46907,46981,74,132
46905,46979,74,133
46900,46977,77,134
46882,46899,17,135
46843,46869,26,136
46812,46865,53,137
46809,46863,54,138
46804,46857,53,139
46801,46825,24,140
